Name,Price,Cpu,ScreenResolution,Ram,Memory,Gpu,OpSys,Weight
"Asus ZenBook 14 Flip OLED UN5401QA Ryzen 5 5600H 14"" 2.8K OLED Touch Laptop","137,800৳",AMD Ryzen 5 5600H ,14.0-inch OLED 2.8K (2880 x 1800) Touch ScreenYes ,16GB , M.2 NVMe PCIe 3.0 G4 SSD 512GB ,AMD Radeon Yes ,Windows 11 Home ,"Pine Gray 31.10 x 22.30 x 1.59 ~ 1.59 cm (12.24"" x 8.78"" x 0.63"" ~ 0.63"") 1.40 kg (3.09 lbs) "
"Asus Vivobook S 16X S5602ZA Core i5 12th Gen 16"" WQXGA Display Laptop","138,600৳",Intel Intel Core i5 ,16.0-inch WQXGA LED WQXGA (2560 x 1600) Touch ScreenNo ,16GB(8X2) ,M.2 NVMe PCIe 4.0 SSD 512GB ,Intel Iris X Graphics Shared ,Windows 11 Home ,"Sandy Grey (S5602ZA-KV099W)
Midnight Black (S5602ZA-KV100W) 35.76 x 25.24 x 1.79 ~ 1.79 cm 1.8 kg "
"ASUS Vivobook Pro 15 M3500QC Ryzen 5 5600H RTX 3050 4GB Graphics 15.6"" FHD Laptop","143,810৳",AMD Ryzen 5 4600H ,15.6-inch FHD (1920 x 1080) Touch ScreenNo Refresh Rate60hz refresh rate ,16GBONBOARD ,NVMe PCIe 512GB SSD ,NVIDIA GeForce RTX 3050 4GB ,Windows 11 Home 64-bit ,QUIET BLUE 359.8 x 235.3 x 19.9mm 1.65 kg (3.64 lbs) 
"Asus ZenBook 14 Flip OLED UP5401EA Core i5 11th Gen 14"" 2.8K OLED Touch Laptop","142,020৳",Intel Core i5-1135G7 ,14.0-inch OLED 2.8K (2880 x 1800) Touch ScreenYes ,8GB ,M.2 NVMe PCIe 3.0 G4 SSD 512GB ,Intel Iris Xe Shared ,Windows 11 Home ,"Pine Gray 31.10 x 22.30 x 1.59 ~ 1.59 cm (12.24"" x 8.78"" x 0.63"" ~ 0.63"") 1.40 kg (3.09 lbs) "
"Asus ZenBook 14 OLED UM3402YA Ryzen 7 5825U 14"" WQHD Laptop","149,730৳",AMD Ryzen 7 5825U ,14 Inch 2.8K OLED WQHD WQHD (2880X1800) Touch ScreenNo ,16GB ,PCIe NVMe 3.0 x2 M.2 SSD 512GB ,AMD Radeon Shared ,Windows 11 Home ,Jade Black 313.6 x 220.6 x 16.9 - 16.9 mm 1.39 kg 
"ASUS Vivobook Pro 15 M3500QC Ryzen 7 5800H RTX 3050 4GB Graphics 15.6"" FHD Laptop","155,100৳",AMD Ryzen 7 ,"15.6"" FHD LED FHD 1920x1080 (WxH) Touch ScreenNo ",16GB ,NVMe PCIe 512GB ,Nvidia RTX 3050 Graphics 4GB ,Win-11 Home , Quiet Blue 359.8 x 235.3 x 18.9 - 19.9mm 1.65 Kg 
"ASUS Vivobook Pro 15 OLED M3500QC Ryzen 7 5800H RTX 3050 4GB Graphics 15.6"" FHD Laptop with Windows 11","160,080৳",AMD Ryzen 7 5800H ,"15.6"" FHD OLED 1920x1080 (WxH) FHD Refresh Rate60 Hz ",16GB ,M.2 NVMe PCIe 3.0 SSD 512GB ,Nvidia RTX 3050 Graphics 4GB ,Win-10 Home ,Quiet Blue 359.8 x 235.3 x 19.9mm 1.65 kg 
"ASUS Zenbook S 13 OLED UM5302TA-LX168W Ryzen 7 6800U 13.3"" 2.8K Touch Laptop","162,750৳",AMD Ryzen 7 6800U ,13.3-inch OLED 2.8K (2880 x 1800) Touch ScreenYes ,16GB ,M.2 NVMe PCIe 4.0 Performance SSD 1TB ,AMD Radeon Graphics Shared ,"Windows 11 Home Other Pre-installed SoftwaresMyASUS
ProArt Creator Hub
ScreenXpert
GlideX ",Ponder Blue 29.67 x 21.05 x 1.49 ~ 1.49 cm 1.10 kg Body MaterialMg-Al 
"Asus ZenBook 14X OLED UX5401EA Core i7 11th Gen 14"" 2.8K OLED Touch Laptop","166,590৳",Intel Core i7-1165G7 ,14.0 Inch OLED 2.8K (2880 x 1800) Touch ScreenYes ,16GB ,M.2 NVMe PCIe 3.0 G4 SSD 512GB ,Intel Iris Xe Shared ,Windows 11 Home ,"Pine Gray 31.10 x 22.30 x 1.59 ~ 1.59 cm (12.24"" x 8.78"" x 0.63"" ~ 0.63"") 1.40 kg (3.09 lbs) "
"Asus ZenBook 14 Flip OLED UP5401EA Core i7 11th Gen 14"" 2.8K OLED Touch Laptop","169,400৳",Intel Core i7-1165G7 ,14.0 Inch OLED 2.8K (2880 x 1800) Refresh Rate0.2ms ,16GB ,M.2 NVMe PCIe 3.0 G4 SSD 512GB ,Intel Iris Xe Shared ,Windows 11 Home ,"Pine Gray 31.10 x 22.30 x 1.59 ~ 1.59 cm (12.24"" x 8.78"" x 0.63"" ~ 0.63"") 1.40 kg (3.09 lbs) "
"ASUS Vivobook Pro 15 M3500QC Ryzen 9 5900HX RTX 3050 4GB Graphics 15.6"" FHD Laptop","168,760৳",AMD Ryzen 9 5900HX ,"15.6"" FHD LED FHD 1920x1080 (WxH) Touch ScreenNo ",16GB ,NVMe PCIe 512GB ,Nvidia RTX 3050 Graphics 4GB ,Win-11 Home , Quiet Blue 359.8 x 235.3 x 18.9 - 19.9mm 1.65 Kg 
"ASUS ZenBook Duo 14 UX482EAR i7 11th Gen 14"" FHD Touch Laptop with Pen","170,500৳",Intel Intel Core i7-1195G7 ,14.0-inch IPS FHD (1920 x 1080) Touch ScreenYes ,16GB , M.2 NVMe PCIe 3.0 G3 SSD 512GB ,Intel Iris Xe Shared ,Windows 11 Home ,Celestial Blue 32.40 x 22.20 x 1.69 ~ 1.73 cm 1.62 kg (3.57 lbs) 
